Item,Function,Quantity,Description,PartNumber,Vendor
1,TOOL,1,HAND PRESS BENCH MOUNT,502PV-ND,digikey
2,TOOL,1,HAND PRESS IDC CONVERSION KIT,506PV-ND,digikey
3,TOOL,1,BASE PLATE SOCKET IDC,510PV-ND,digikey
4,TOOL,1,Adjustable Wrench Chrome Standard Plain Handle 4in Long 1/2in Jaw Capacity,5385A11,mcmaster
5,TOOL,1,Ultra-Gold Hex L-Keys 13-Piece Inch Set,6493A91,mcmaster
